Key,Name,Default,Unlock
Cecilia_Festive_Instructor,Iceberg,—,4
Ced_Sage_of_the_Wind,Rising Wind,4,3
Ced_Sage_of_the_Wind,Blazing Wind,—,4
Celica_Of_Echoes,New Moon,4,3
Celica_Of_Echoes,Moonbow,—,4
Celica_Of_Echoes,Warp Ragnarok,—,5
Celica_Sunlit_Priestesses,New Moon,4,3
Celica_Sunlit_Priestesses,Luna,—,4
Celica_Sunlit_Priestesses,Magic Light,—,5
Celica_Valentias_Hope,New Moon,4,3
Celica_Valentias_Hope,Moonbow,—,4
Celine_Joyous_Royal,Chilling Wind,4,3
Celine_Joyous_Royal,Iceberg,—,4
Celine_Teatime_Ninja,Chilling Wind,4,3
Celine_Teatime_Ninja,Glacies,—,4
Cervantes_Invincible_General,Glowing Ember,4,3
Cervantes_Invincible_General,Ignis,—,4
Charlotte_Wily_Warrior,Night Sky,4,3
Charlotte_Wily_Warrior,Glimmer,—,4
Cherche_Shaded_by_Wings,Glowing Ember,4,3
Cherche_Shaded_by_Wings,Ignis,—,4
Chloe_Fairy-Tale_Flier,Night Sky,4,3
Chloe_Fairy-Tale_Flier,Glimmer,—,4
Chloe_Spring_Wings,Dragon Gaze,4,3
Chloe_Spring_Wings,Draconic Aura,—,4
Chrom_Fate-Defying_Duo,Night Sky,4,3
Chrom_Fate-Defying_Duo,Glimmer,—,4
Chrom_Fate-Defying_Duo,Deadeye,—,5
Chrom_Fell_Exalt,Night Sky,4,3
Chrom_Fell_Exalt,Astra,—,4
Chrom_Fell_Exalt,Galeforce,—,5
Chulainn_Unbeaten_Warrior,New Moon,4,3
Chulainn_Unbeaten_Warrior,Luna,—,4
Citrinne_Caring_Noble,Chilling Wind,4,3
Citrinne_Caring_Noble,Iceberg,—,4
Clanne_Summer_Fan,New Moon,4,3
Clanne_Summer_Fan,Moonbow,—,4
Clarine_Refined_Noble,Imbue,4,2
Clarine_Refined_Noble,Swift-Winds Balm,5,3
Claude_Distant_Deer,New Moon,4,3
Claude_Distant_Deer,Moonbow,—,4
Claude_Distant_Deer,Curved Shot,—,5
Claude_Golden_Breeze,New Moon,—,3
Claude_Golden_Breeze,Luna,—,4
Claude_Golden_Breeze,Lethality,—,5
Claude_Tropical_Trouble,New Moon,4,3
Claude_Tropical_Trouble,Moonbow,—,4
Claude_Yuletide_Schemer,Daylight,4,3
Claude_Yuletide_Schemer,Sol,—,4
Colm_Capable_Thief,New Moon,4,3
Colm_Capable_Thief,Moonbow,—,4
Cordelia_Unyielding_Snow,Night Sky,4,3
Cordelia_Unyielding_Snow,Astra,—,4
Cordelia_Unyielding_Snow,Galeforce,—,5
Cornelia_Saint_Consumed,Imbue,4,2
Cornelia_Saint_Consumed,Miracle,5,3
Corrin_Celestial_Sorcerer,New Moon,4,3
Corrin_Celestial_Sorcerer,Moonbow,—,4
Corrin_Child_of_Dawn,Dragon Gaze,4,3
Corrin_Child_of_Dawn,Dragon Fang,—,4
Corrin_Child_of_Dawn,Dragon Fang Shot,—,5
Corrin_Daylight_Ninja_Act,Dragon Gaze,4,3
Corrin_Daylight_Ninja_Act,Draconic Aura,—,4
Corrin_Novice_Vacationer,Dragon Gaze,4,3
Corrin_Novice_Vacationer,Dragon Fang,—,4
Corrin_Silent_Bloodline,Chilling Wind,4,3
Corrin_Silent_Bloodline,Iceberg,—,4
Corrin_Silent_Bloodline,Armored Floe,—,5
Corrin_Starry_Seer,Dragon Gaze,4,3
Corrin_Starry_Seer,Dragon Fang,—,4
Corrin_Starry_Seer,Negating Fang,—,5
Corrin_Young_Kinship,Dragon Gaze,4,3
Corrin_Young_Kinship,Dragon Fang,—,4
Corrin_Young_Kinship,Dragon Fang Fire,—,5
Cyril_Rheas_Attendant,Retribution,4,3
Cyril_Rheas_Attendant,Vengeance,—,4
Dagdar_Reformed_Bandit,Glowing Ember,4,3
Dagdar_Reformed_Bandit,Ignis,—,4
Dagr_Bluster_Princess,Dragon Gaze,4,3
Dagr_Bluster_Princess,Draconic Aura,—,4
Dagr_New_Year_Jotnar,New Moon,4,3
Dagr_New_Year_Jotnar,Luna,—,4
Dedue_Dauntless_Beast,Glowing Ember,4,3
Dedue_Dauntless_Beast,Ignis,—,4
Dedue_Dauntless_Beast,Sturdy Beast,—,5
Dedue_Loyal_Life_Guard,Buckler,4,3
Dedue_Loyal_Life_Guard,Pavise,—,4
Delthea_Prodigy_in_Bloom,Night Sky,4,3
Delthea_Prodigy_in_Bloom,Glimmer,—,4
Dew_Benevolent_Thief,Daylight,4,3
Dew_Benevolent_Thief,Sol,—,4
Dheginsea_Harvest_Goldoan,Dragon Gaze,4,3
Dheginsea_Harvest_Goldoan,Draconic Aura,—,4
Diamant_Gallant_Ninja,Glowing Ember,4,3
Diamant_Gallant_Ninja,Bonfire,—,4
Diamant_Gallant_Ninja,Boulder,—,5
Diamant_Rising_Power,Glowing Ember,4,3
Diamant_Rising_Power,Bonfire,—,4
Dimitri_Blessed_Protector,Dragon Gaze,4,3
Dimitri_Blessed_Protector,Draconic Aura,—,4
Dimitri_Blessed_Protector,No Quarter,—,5
Dimitri_Sky-Blue_Lion,Night Sky,4,3
Dimitri_Sky-Blue_Lion,Glimmer,—,4
Dimitri_Stargazing_Lion,Dragon Gaze,4,3
Dimitri_Stargazing_Lion,Draconic Aura,—,4
Dimitri_Stargazing_Lion,Haze Slice,—,5
Duma_Strength_and_Love,Night Sky,4,3
Duma_Strength_and_Love,Glimmer,—,4
Dwyer_Sleepy_Butler,Imbue,4,2
Dwyer_Sleepy_Butler,Heavenly Light,5,3
Edain_Lady_of_Yngvi,Imbue,4,2
Edain_Lady_of_Yngvi,Miracle,5,3
Edain_Lady_of_Yngvi,Glitter of Light,—,5
Edelgard_Adorned_Eagle,Glowing Ember,4,3
Edelgard_Adorned_Eagle,Bonfire,—,4
Edelgard_Adorned_Eagle,Armored Blaze,—,5
Edelgard_Snowfall_Future,Glowing Ember,4,3
Edelgard_Snowfall_Future,Bonfire,—,4
Edelgard_Snowfall_Future,Armored Blaze,—,5
Edelgard_Sun_Empresses,Night Sky,4,3
Edelgard_Sun_Empresses,Glimmer,—,4
Edward_Blade_of_Justice,Buckler,4,3
Edward_Blade_of_Justice,Escutcheon,—,4
Edward_Blade_of_Justice,Godlike Reflexes,—,5
Eikthyrnir_Fit_for_Waves,Glowing Ember,4,3
Eikthyrnir_Fit_for_Waves,Bonfire,—,4
Eikthyrnir_Quieting_Strength,Dragon Gaze,4,3
Eikthyrnir_Quieting_Strength,Dragon Fang,—,4
Eikthyrnir_Quieting_Strength,Fierce Beast,—,5
Eikthyrnir_Resolved_to_Train,Glowing Ember,4,3
Eikthyrnir_Resolved_to_Train,Ignis,—,4
Eikthyrnir_Resolved_to_Train,Mighty Roar,—,5
Eir_Life_Ascendant,Dragon Gaze,4,3
Eir_Life_Ascendant,Draconic Aura,—,4
Eirika_Beach_Restorer,New Moon,4,3
Eirika_Beach_Restorer,Luna,—,4
Eirika_Gentle_as_Snow,Imbue,4,2
Eirika_Gentle_as_Snow,Heavenly Light,5,3
Eirika_Of_the_Sacred,New Moon,4,3
Eirika_Of_the_Sacred,Luna,—,4
Eirika_Of_the_Sacred,Twin Strike,—,5
Eirika_Resolute_Princess,Night Sky,4,3
Eirika_Resolute_Princess,Glimmer,—,4
Eirika_Resolute_Princess,Gust,—,5
Eirika_Twin_Refulgence,New Moon,4,3
Eirika_Twin_Refulgence,Luna,—,4
Eitr_Hand_of_Nothing,New Moon,4,3
Eitr_Hand_of_Nothing,Luna,—,4
Eitr_Spring_Sunrise,Night Sky,4,3
Eitr_Spring_Sunrise,Astra,—,4
Eitr_Spring_Sunrise,Nimble Beast,—,5
Elice_Altean_Princess,Imbue,4,2
Elice_Altean_Princess,Heavenly Light,5,3
Elincia_Devoted_Queen,Imbue,4,2
Elincia_Devoted_Queen,Miracle,5,3
Elincia_Devoted_Queen,Light's Restraint,—,5
Elincia_Undaunted_Queen,Dragon Gaze,4,3
Elincia_Undaunted_Queen,Dragon Fang,—,4
Elise_Sparkling_Smile,Imbue,4,2
Elise_Sparkling_Smile,Miracle,5,3
Elise_Sparkling_Smile,Holy Panic,—,5
Elise_Sweetheart_Royals,Imbue,4,2
Elise_Sweetheart_Royals,Miracle,5,3
Elise_Sweetheart_Royals,Holy Pressure,—,5
Eliwood_Pledged_Friend,New Moon,4,3
Eliwood_Pledged_Friend,Luna,—,4
Elm_Resolute_Grouch,New Moon,4,3
Elm_Resolute_Grouch,Luna,—,4
Embla_Closed-Off_Bride,Dragon Gaze,4,3
Embla_Closed-Off_Bride,Dragon Fang,—,4
Emmeryn_Gentle_Exalt,Imbue,4,2
Emmeryn_Gentle_Exalt,Miracle,5,3
Emmeryn_Selfless_Exalt,Imbue,4,2
Emmeryn_Selfless_Exalt,Miracle,5,3
Emmeryn_Selfless_Exalt,Light's Restraint,—,5
Ephraim_Ardent_Prince,Glowing Ember,4,3
Ephraim_Ardent_Prince,Bonfire,—,4
Ephraim_Ardent_Prince,Armored Blaze,—,5
Ephraim_Sunshine_Valiant,Glowing Ember,4,3
Ephraim_Sunshine_Valiant,Bonfire,—,4
Eremiya_Bishop_of_Woe,Imbue,4,2
Eremiya_Bishop_of_Woe,Miracle,5,3
Est_Sweet_Baby_Sis,Chilling Wind,4,3
Est_Sweet_Baby_Sis,Iceberg,—,4
Ethlyn_Spirited_Princess,Imbue,4,2
Ethlyn_Spirited_Princess,Heavenly Light,5,3
Etie_Fitness_Fighter,Dragon Gaze,4,3
Etie_Fitness_Fighter,Draconic Aura,—,4
Excellus_Conquerors_Wile,Chilling Wind,4,3
Excellus_Conquerors_Wile,Glacies,—,4
Fae_Holiday_Dear,New Moon,4,3
Fae_Holiday_Dear,Luna,—,4
Fafnir_Fresh_Ambition,Night Sky,4,3
Fafnir_Fresh_Ambition,Glimmer,—,4
Fargus_Badon_Buccaneer,Dragon Gaze,4,3
Fargus_Badon_Buccaneer,Dragon Fang,—,4
Faye_Drawn_Heartstring,New Moon,4,3
Faye_Drawn_Heartstring,Moonbow,—,4
Febail_Mercenary_Waif,New Moon,4,3
Febail_Mercenary_Waif,Luna,—,4
Felicia_Confidently_Cold,New Moon,4,3
Felicia_Confidently_Cold,Luna,—,4
Felix_Icy_Gift_Giver,Night Sky,4,3
Felix_Icy_Gift_Giver,Glimmer,—,4
Felix_Lone-Wolf_Blade,Buckler,4,3
Felix_Lone-Wolf_Blade,Escutcheon,—,4
Felix_Lone-Wolf_Blade,Godlike Reflexes,—,5
Felix_Savants_Service,Night Sky,4,3
Felix_Savants_Service,Glimmer,—,4
Felix_Savants_Service,Gust,—,5
Felix_Sword_Savant,Night Sky,4,3
Felix_Sword_Savant,Glimmer,—,4
Felix_Sword_Savant,Gust,—,5
Fir_Swordmaiden,Night Sky,4,3
Fir_Swordmaiden,Glimmer,—,4
Fjorm_Gleaming_Ice_Pair,Holy Vestments,4,3
Fjorm_Gleaming_Ice_Pair,Sacred Cowl,—,4
Fjorm_Gleaming_Ice_Pair,Dual Ice Mirrors,—,5
Fjorm_Ice_Ascendant,Holy Vestments,4,3
Fjorm_Ice_Ascendant,Sacred Cowl,—,4
Fjorm_Ice_Ascendant,Ice Mirror,—,5
Fjorm_Seaside_Thaw,Holy Vestments,4,3
Fjorm_Seaside_Thaw,Sacred Cowl,—,4
Fjorm_Seaside_Thaw,Frostbite Mirror,—,5
Flavia_Feroxi_East-Khan,Dragon Gaze,4,3
Flavia_Feroxi_East-Khan,Draconic Aura,—,4
Flayn_Silly_Kitty-Cat,Imbue,4,2
Flayn_Silly_Kitty-Cat,Miracle,5,3
Flayn_Silly_Kitty-Cat,Holy Pressure,—,5
Flora_Polar-Perfect,Chilling Wind,4,3
Flora_Polar-Perfect,Glacies,—,4
Florina_Azure-Sky_Knight,New Moon,4,3
Florina_Azure-Sky_Knight,Moonbow,—,4
Fogado_Affable_Prince,New Moon,4,3
Fogado_Affable_Prince,Luna,—,4
Fogado_Summer_of_Bliss,New Moon,4,3
Fogado_Summer_of_Bliss,Luna,—,4
Fomortiis_Dark_of_Night,Holy Vestments,5,3
Fomortiis_Dark_of_Night,Aegis,—,4
Fomortiis_Demon_King,Glowing Ember,4,3
Fomortiis_Demon_King,Bonfire,—,4
Forde_Unfettered_Knight,New Moon,4,3
Forde_Unfettered_Knight,Luna,—,4
Forrest_Fashion_Forward,Imbue,4,2
Forrest_Fashion_Forward,Heavenly Light,5,3
Framme_Spring_Fangirl,Dragon Gaze,4,3
Framme_Spring_Fangirl,Dragon Fang,—,4
Frederick_Youth_in_Service,Glowing Ember,4,3
Frederick_Youth_in_Service,Bonfire,—,4
Freyja_Fleeting_Summer,Night Sky,4,3
Freyja_Fleeting_Summer,Glimmer,—,4
Freyr_Dream-King,Glowing Ember,4,3
Freyr_Dream-King,Ignis,—,4
Freyr_Estival_Dreams,Dragon Gaze,4,3
Freyr_Estival_Dreams,Draconic Aura,—,4
Fuga_Force_of_Gales,Glowing Ember,4,3
Fuga_Force_of_Gales,Bonfire,—,4
Gaius_Thief_Exposed,Night Sky,4,3
Gaius_Thief_Exposed,Astra,—,4
Galzus_Dark_Blade_of_Od,New Moon,4,3
Galzus_Dark_Blade_of_Od,Luna,—,4
Ganglot_Death_Anew,Chilling Wind,4,3
Ganglot_Death_Anew,Iceberg,—,4
Genny_Dressed_with_Care,Imbue,4,2
Genny_Dressed_with_Care,Kindled-Fire Balm,5,3
Genny_Dressed_with_Care,Fireflood Balm,—,4
Genny_Dressed_with_Care,Fireflood Balm+,—,5
Geoffrey_Realms_Protector,New Moon,4,3
Geoffrey_Realms_Protector,Luna,—,4
Gilliam_Wall_of_Silence,Glowing Ember,4,3
Gilliam_Wall_of_Silence,Bonfire,—,4
Ginnungagap_Ruler_of_Nihility,New Moon,4,3
Ginnungagap_Ruler_of_Nihility,Luna,—,4
Ginnungagap_Ruler_of_Nihility,Lethality,—,5
Glen_Sunstone,Glowing Ember,4,3
Glen_Sunstone,Ignis,—,4
Goldmary_Coy_Beach_Divas,Buckler,4,3
Goldmary_Coy_Beach_Divas,Escutcheon,—,4
Goldmary_Coy_Beach_Divas,Godlike Reflexes,—,5
Gonzalez_Kindly_Bandit,Dragon Gaze,4,3
Gonzalez_Kindly_Bandit,Dragon Fang,—,4
Gotoh_Apostle_of_Naga,Chilling Wind,4,3
Gotoh_Apostle_of_Naga,Glacies,—,4
Gotoh_White_Sage,Chilling Wind,4,3
Gotoh_White_Sage,Iceberg,—,4
Gregor_Swell_Sword,Glowing Ember,4,3
Gregor_Swell_Sword,Bonfire,—,4
Greil_Heroic_Exemplar,New Moon,4,3
Greil_Heroic_Exemplar,Luna,—,4
Greil_Heroic_Exemplar,Aether,—,5
Grima_Tyrant_of_Despair,Chilling Wind,4,3
Grima_Tyrant_of_Despair,Iceberg,—,4
Grima_Tyrant_of_Despair,Armored Glacier,—,5
Grima_Tyrant_of_Ruin,Chilling Wind,4,3
Grima_Tyrant_of_Ruin,Glacies,—,4
Griss_Indulging_Pain,Chilling Wind,4,3
Griss_Indulging_Pain,Glacies,—,4
Guinivere_Queen_of_Bern,Chilling Wind,4,3
Guinivere_Queen_of_Bern,Iceberg,—,4
Gullveig_Glittering_Sunlight,Retribution,4,3
Gullveig_Glittering_Sunlight,Vengeance,—,4
Gullveig_Glittering_Sunlight,Time and Light,—,5
Gullveig_Seer_Beyond_Time,New Moon,4,3
Gullveig_Seer_Beyond_Time,Luna,—,4
Gustav_Majestic_Love,Glowing Ember,4,3
Gustav_Majestic_Love,Ignis,—,4
Gustav_Exsanguinator,Glowing Ember,4,3
Gustav_Exsanguinator,Bonfire,—,4
Guy_Kutolah_Blade,Night Sky,4,3
Guy_Kutolah_Blade,Glimmer,—,4
Hana_Focused_Ninja,Night Sky,4,3
Hana_Focused_Ninja,Glimmer,—,4
Hana_Striving_Heart,Glowing Ember,4,3
Hana_Striving_Heart,Ignis,—,4
Hans_Ambitious_Brute,Dragon Gaze,4,3
Hans_Ambitious_Brute,Dragon Fang,—,4
Hapi_Drawn-Out_Sigh,Night Sky,4,3
Hapi_Drawn-Out_Sigh,Glimmer,—,4
Hapi_Eternal_Sunlit_Pair,Rising Light,4,3
Hapi_Eternal_Sunlit_Pair,Blazing Light,—,4
Hardin_The_Coyote,Dragon Gaze,4,3
Hardin_The_Coyote,Draconic Aura,—,4
Harken_Troubled_Warrior,Glowing Ember,4,3
Harken_Troubled_Warrior,Bonfire,—,4
Hawkeye_Taciturn_Guardian,Glowing Ember,4,3
Hawkeye_Taciturn_Guardian,Ignis,—,4
Hayato_Diviner_of_Reppu,New Moon,4,3
Hayato_Diviner_of_Reppu,Moonbow,—,4
Heath_Wyvern_Ninja,Glowing Ember,4,3
Heath_Wyvern_Ninja,Bonfire,—,4
Hector_General_of_Ostia,Buckler,4,3
Hector_General_of_Ostia,Pavise,—,4
Hector_Steel_Warrior,Glowing Ember,5,3
Hector_Steel_Warrior,Bonfire,—,4
Hector_Steel_Warrior,Armored Beacon,—,5
Hector_Sworn_Friend,Glowing Ember,4,3
Hector_Sworn_Friend,Bonfire,—,4
Hector_Sworn_Friend,Armored Beacon,—,5
Heidrun_Healing_Nectar,Holy Vestments,4,3
Heidrun_Healing_Nectar,Aegis,—,4
Heidrun_Peaceful_Horizon,Chilling Wind,4,3
Heidrun_Peaceful_Horizon,Glacies,—,4
Heidrun_Peaceful_Horizon,Ice Wall,—,5
Heidrun_Sisters_of_Healing,Rising Wind,4,3
Heidrun_Sisters_of_Healing,Blazing Wind,—,4
Henriette_Overflowing_Love,Chilling Wind,4,3
Henriette_Overflowing_Love,Iceberg,—,4
Henry_Happy_Vampire,Retribution,4,3
Henry_Happy_Vampire,Reprisal,—,4
Hestia_Dumas_Witch,Chilling Wind,4,3
Hestia_Dumas_Witch,Iceberg,—,4
Hilda_Helping_Hand,New Moon,4,3
Hilda_Helping_Hand,Luna,—,4
Hilda_Queen_of_Friege,Chilling Wind,4,3
Hilda_Queen_of_Friege,Glacies,—,4
Hinoka_Thundering_Wings,Night Sky,4,3
Hinoka_Thundering_Wings,Glimmer,—,4
Hinoka_Thundering_Wings,Deadeye,—,5
Hodr_Dusk_Shadow_God,Chilling Wind,4,3
Hodr_Dusk_Shadow_God,Glacies,—,4
Hodr_Dusk_Shadow_God,Ice Wall,—,5
Holst_Hero_of_Leicester,Rising Light,4,3
Holst_Hero_of_Leicester,Blazing Light,—,4
Hortensia_Little_Charmer,Imbue,4,2
Hortensia_Little_Charmer,Miracle,5,3
Hortensia_Little_Charmer,Glitter of Light,—,5
Hortensia_Winters_Dearest,Imbue,4,2
Hortensia_Winters_Dearest,Miracle,5,3
Hortensia_Winters_Dearest,Holy Pressure,—,5
Hraesvelgr_Quieting_Blade,Night Sky,4,3
Hraesvelgr_Quieting_Blade,Astra,—,4
Hraesvelgr_Quieting_Blade,Nimble Beast,—,5
Hraesvelgr_Wings_of_Healing,Night Sky,4,3
Hraesvelgr_Wings_of_Healing,Astra,—,4
Hraesvelgr_Wings_of_Healing,Nimble Beast,—,5
Hrid_Island_Ice_Prince,Glowing Ember,4,3
Hrid_Island_Ice_Prince,Bonfire,—,4
Hubert_Crimson_Schemer,Chilling Wind,4,3
Hubert_Crimson_Schemer,Glacies,—,4
Hugh_Worldly_Mage,New Moon,4,3
