Key,Name,Title,Standard Artist,Description,Rarities,Weapon Type,Move Type,Voice ActorEN,Voice ActorJP,Release Date,Entry,Version,Internal ID,Origin,Addition Date,Pre-Inheritance,Legendary Effect,Ally Boost,Standard Effect 1,Standard Effect 2,Duo Skill【Switch】,Duo Skill,Resplendent Artist,Voice ActorEN(ResplendentAttire),Harmonized Skill【Switch】,Resonance Effect,Entries,Mythic Effect,Boost,Ascended Traits,Mythic Effect 2Boost,Mythic Effect 3Boost,Ally Internal ID,Enemy Internal ID,Emblem Effect 1,Emblem Effect 2,Aided Hero,Emblem Effect 1【Switch】
Alear_Gifted_Dragons,Alear,Gifted Dragons,葉山えいし,Two Divine Dragons who adorn Askr's winter festival. And they are joined by the guardian spirit of the Somniel too. They appear in Fire Emblem Engage.,5Focus —SpecialDuo,Blue Breath,Infantry,Shimono Hiro (下野紘)+Endo Aya (遠藤綾)English voice lines will be implemented into the game at a later date.,Shimono Hiro (下野紘)withEndo Aya (遠藤綾),2024-12-13,Engage,9.0,PID_比翼リュール男(1180),140000100100,,,,,"DuelIf unit is 5★ and level 40 and unit's stats total less than 215, treats unit's stats as 215 in modes likeArena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",,"Neutralizes any【Penalty】effects on unit and allies within 3 spaces of unit, and grants the following to unit and those allies for 1 turn: ""neutralizes foe's bonuses during combat"" and ""reduces the percentage of foe's non-Special 'reduce damage by X%' skills by 50% during combat (excluding area-of-effect Specials).""Once used, Duo Skill cannot be activated again right away. At the start of every third turn, if Duo Skill has already been used, unit can use Duo Skill again.(Duo Skills can be used by tapping the Duo button. Duo Skills cannot be used by units deployed usingPair Up.) Neutralizes any【Penalty】effects on unit and allies within 3 spaces of unit, and grants the following to unit and those allies for 1 turn: ""neutralizes foe's bonuses during combat"" and ""reduces the percentage of foe's non-Special 'reduce damage by X%' skills by 50% during combat (excluding area-of-effect Specials).""Once used, Duo Skill cannot be activated again right away. At the start of every third turn, if Duo Skill has already been used, unit can use Duo Skill again.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).(Duo Skills can be used by tapping the Duo button. Duo Skills cannot be used by units deployed usingPair Up.)",,,,,,,,,,,,,,,,,
Alear_Red_Days_Past,Alear,Red Days Past,kainown,"One of the Fell Dragon's countless children. At her father's command, she desires the Emblem Rings. Appears in Fire Emblem Engage.",5,Green Breath,Armored,Endo Aya (遠藤綾)English voice lines will be implemented into the game at a later date.,Endo Aya (遠藤綾),2025-05-07,Engage,9.5,PID_闇リュール女(1238),140000100200,,,,,,,,,,,,,,,,,,,,,,,,
Alear_Seaside_Dragon,Alear,Seaside Dragon,ichikawa Halu (いちかわはる),"After a thousand-year slumber, the Divine Dragon wakes to swim in the ocean for the first time in memory. Appears in Fire Emblem Engage.",5Focus —Special,Colorless Breath,Infantry,Laura Stahl,Endo Aya (遠藤綾),2024-07-05,Engage,8.7,PID_水着リュール女(1114),140000100200,,,,,,,,,,,,,,,,,,,,,,,,
Alfonse_Askran_Duo,Alfonse,Askran Duo,argon/Exys Inc.,"Siblings who, together, represent Askr's future. They have come to participate in the celebration and to make a resolution to keep up their hard work in the coming year.",4SR—SpecialDuo,Blue Tome,Infantry,Ray Chase+Julie Kliewer,Tatsuhisa Suzuki (鈴木達央)withMaaya Uchida (内田真礼),2020-01-01,Heroes,4.0,PID_比翼アルフォンス(466),00000100100,2019-12-25,,,,"DuelIf unit is 5★ and level 40 and unit's stats total less than 185, treats unit's stats as 185 in modes likeArena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",,,Grants Special cooldown count-2 to unit and infantry allies within 3 rows and 3 columns centered on unit.(Duo Skills can be used once per map by tapping the Duo button. Duo Skills cannot be used by units deployed usingPair Up.),,,,,,,,,,,,,,,,
Alfonse_Heir_to_Openness,Alfonse,Heir to Openness,Niji Hayashi (ニジハヤシ),"A kind and serious prince of Askr. Wearing the same gear his father once wore, he possesses a renewed determination and sense of purpose.",5,Axe,Cavalry,Ray Chase,Tatsuhisa Suzuki (鈴木達央),2024-08-16,Heroes,8.8,PID_総選挙アルフォンス(1133),00000100100,,,,,,,,,,,,,,,,,,,,,,,,
Alfonse_Prince_of_Askr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonse_Spring_Prince,Alfonse,Spring Prince,Kozaki Yusuke (コザキユースケ),A prince of Askr who's kind and serious. He's taking part in the spring festival as a member of the Order of Heroes.,4SR—Special,Axe,Cavalry,Ray Chase,Tatsuhisa Suzuki (鈴木達央),2018-03-22,Heroes,2.3,PID_春祭アルフォンス(229),00000100100,,,,,,,,,,,,,,,,,,,,,,,,
Alfonse_Uplifting_Love,Alfonse,Uplifting Love,argon/Exys Inc.,"Prince of Askr, serious yet gentle. Participating in the Day of Devotion festival to display his affection for his people.",4— 5Focus —Special,Green Tome,Armored,Ray Chase,Tatsuhisa Suzuki (鈴木達央),2021-02-05,Heroes,5.2,PID_愛の祭アルフォンス(625),00000100100,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,
Alfred_Floral_Protector,Alfred,Floral Protector,kaya8,"Crown prince of Firene, a peace-loving land. He trains constantly with the intent of improving his constitution. Appears in Fire Emblem Engage.",5Focus —Rearmed,Lance,Cavalry,Nick Wolfhard,Ryohei Kimura (木村良平),2023-01-17,Engage,7.1,PID_魔器アルフレッド(904),140000200200,,"In contrast with standard inheritance, arcane weapon skills can be inherited and the source ally will not be lost in the process. This can be performed only once for each Rearmed Hero summoned. (See the Inherit Skills menu Help messages to learn more.)",,,,,,,,,,,,,,,,,,,,,,
Alm_Hero_of_Prophecy,Alm,Hero of Prophecy,Arai Teruko (新井テル子),"A brave but kind young warrior, raised by the hero Mycen in Ram Village. His left hand is marked with the Brand. Appears in Fire Emblem Echoes: Shadows of Valentia.",4SR,Sword,Infantry,Kyle McCarley,Hanae Natsuki (花江夏樹),2017-04-14,Echoes,1.2,PID_アルム(119),20000100100,,,,,,,,,Nishiki Areku (西木あれく),,,,,,,,,,,,,,,
Alm_Imperial_Ascent,Alm,Imperial Ascent,Hidari (左),"Son of Rudolf, the Rigelian Emperor. Dons special armor that has been passed down for generations. Appears in Fire Emblem Echoes: Shadows of Valentia.",4SR,Sword,Infantry,Kyle McCarley,Hanae Natsuki (花江夏樹),2019-08-16,Echoes,3.8,PID_総選挙アルム(411),20000100100,,,,,,,,,Asatani Tomoyo (麻谷知世),Hanae Natsuki (花江夏樹)English voice lines will be implemented into the game at a later date.,,,,,,,,,,,,,,
Alm_Lovebird_Duo,Alm,Lovebird Duo,Tsukkii (ツッキー)/INTELLIGENT SYSTEMS,Prince of Rigel and princess of Zofia. Ended the strife between their countries and founded the One Kingdom of Valentia. They appear in Fire Emblem Echoes: Shadows of Valentia.,4SR—SpecialDuo,Axe,Infantry,Kyle McCarley+Erica Lindbeck,Hanae Natsuki (花江夏樹)withNao Toyama (東山奈央),2020-02-06,Echoes,4.2,PID_比翼アルム(482),20000100100,,,,,"DuelIf unit is 5★ and level 40 and unit's stats total less than 185, treats unit's stats as 185 in modes likeArena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",,"Neutralizes any【Penalty】, restores 30 HP, and grants Atk/Spd+6 to unit and allies within 5 rows and 5 columns centered on unit for 1 turn.(Duo Skills can be used once per map by tapping the Duo button. Duo Skills cannot be used by units deployed usingPair Up.) Neutralizes any【Penalty】, restores 30 HP, and grants Atk/Spd+6 to unit and allies within 5 rows and 5 columns centered on unit for 1 turn.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).(Duo Skills can be used once per map by tapping the Duo button. Duo Skills cannot be used by units deployed usingPair Up.)",,,,,,,,,,,,,,,,,
Alm_Powerful_Resolve,Alm,Powerful Resolve,maCo/Trys Inc.,"A young boy from Ram Village with the Brand on his left hand. Fights with resolve, determined to keep his oath he swore to Celica as a child. Appears in Fire Emblem Echoes: Shadows of Valentia.",5Focus —Attuned,Colorless bow,Infantry,Hanae Natsuki (花江夏樹)English voice lines will be implemented into the game at a later date.,Hanae Natsuki (花江夏樹),2025-03-18,Echoes,9.3,PID_響心アルム(1219),20000100100,,"In contrast with standard inheritance, Attuned Skills can be inherited and the source ally will not be lost in the process. This can be performed only once for each Attuned Hero summoned. (See the Inherit Skills menu Help messages to learn more.)",,,,,,,,,,,,,,,,,,,,,,
Alm_Saint-King,Alm,Saint-King,Arai Teruko (新井テル子),The Rigelian prince who defeated Duma and became the first king of the One Kingdom of Valentia. Later generations remember him fondly as a wise ruler. Appears in Fire Emblem Echoes: Shadows of Valentia.,5Focus —Legendary,Colorless bow,Infantry,Kyle McCarley,Hanae Natsuki (花江夏樹),2019-04-27,Echoes,3.4,PID_伝承アルム(371),20000100100,2019-04-26,,Earth,HP+3,"DuelIf unit is 5★ and level 40 and unit's stats total less than 175, treats unit's stats as 175 in modes likeArena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)","Pair UpAn ability that can only be used under certain circumstances. Pair Up can be accessed from the Interact with Allies menu, and allows this unit to join battle in a group with another ally.",,,,,,,,,,,,,,,,,,
Altena_Luminous_Rider,Altena,Luminous Rider,Kibayashi Senri (樹林センリ)/Exys Inc.,"Daughter of Quan and Ethlyn, and inheritor of the Gáe Bolg. She was raised by her family's enemy, Travant. Appears in Fire Emblem: Genealogy of the Holy War.",3— 4,Lance,Flying,Morgan Berry,Haruka Tomatsu (戸松遥),2020-01-09,Genealogy of the Holy War,4.1,PID_アルテナ(474),30009100300,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,
Altina_Cross-Time_Duo,Altina,Dawn's Trueblade,Kita Senri (北千里),"Under the divine protection of Ashera, the goddess of order, she battled Yune as one of the Three Heroes. Appears in Fire Emblem: Radiant Dawn.",5Focus —Mythic,Sword,Flying,Krizia Bajos,Miho Miyagawa (宮川美保),2019-11-28,Radiant Dawn,3.11,PID_神階オルティナ(453),90000900050,,,,,,,,,,,,,,Astra,"HP+5, Atk+3",,,,,,,,,
Altina_Dawns_Trueblade,Altina,Cross-Time Duo,Kita Senri (北千里),"Altina, the founder of Begnion, and her descendant Sanaki, binding past and future. They appear in Fire Emblem: Radiant Dawn / Path of Radiance.",4SR—SpecialHarmonized,Sword,Infantry,Krizia Bajos+Sara Cravens,Miho Miyagawa (宮川美保)withMai Nakahara (中原麻衣),2020-12-17,,5.0,PID_双界オルティナ(600),90000900050,,,,,,,,,,,"Grants【Resonance: Blades】to unit and allies from the same titles as unit.Grants【Vantage】to unit.(Harmonized Skills can be used by tapping the Harmonized button. This skill can only be used once per map. Harmonized Skills cannot be used by units deployed usingPair Up.) Grants【Resonance: Blades】to unit and allies from the same titles as unit.Grants【Vantage】to unit.【Resonance: Blades】Grants Atk/Spd+4 during combat for 1 turn.【Vantage】If foe initiates combat, unit can counterattack before foe's first attack for 1 turn.(Harmonized Skills can be used by tapping the Harmonized button. This skill can only be used once per map. Harmonized Skills cannot be used by units deployed usingPair Up.)",Radiant Dawn/Path of RadianceIncreases scores inResonant Battles.(More details can be found in the Help messages within Resonant Battles.),Path of RadianceRadiant Dawn,,,,,,,,,,,
Altina_Unrivaled_Dawn,Altina,Unrivaled Dawn,Akka (あっか),One of the Three Heroes who fought a dark god under the protection of a goddess. Interested in the utopia in Nabata and its sublime ideology. Appears in Fire Emblem: Radiant Dawn.,5Focus —Special,Axe,Infantry,Krizia Bajos,Miho Miyagawa (宮川美保),2024-01-19,Radiant Dawn,8.1,PID_ナバタオルティナ(1052),90000900050,,,,,,,,,,,,,,,,,,,,,,,,
Amelia_Blossoming_Talent,Amelia,Blossoming Talent,kiyu/Trys Inc.,"A soldier from Silva, a Grado village. She grew strong quickly, training under General Duessel. Appears in Fire Emblem: The Sacred Stones.",5—Ascended,Lance,Armored,Liv Strander,Ai Nagano (永野愛),2024-07-16,The Sacred Stones,8.7,PID_開花アメリア(1119),70000302100,,,,,,,,,,,,,,,,"Ascended Heroes have an Ascended Asset, which boosts one of their stats beyond that Hero's standard asset and flaw. Ascendant Florets can also be used to grant Ascended Assets to non-Ascended Heroes. (See the Ascend Traits menu Help messages to learn more.)",,,,,,,,
Amelia_Rose_of_the_War,Amelia,Rose of the War,Amagaitaro (アマガイタロー),A young soldier from a small village in Grado. She is honest and sincere. Appears in Fire Emblem: The Sacred Stones.,4SR,Axe,Armored,Liv Strander,Ai Nagano (永野愛),2017-08-15,The Sacred Stones,1.6,PID_アメリア(162),70000302100,,,,,,,,,Kanzawa Yo (神澤葉),,,,,,,,,,,,,,,
Anankos_Seething_Silence,Anankos,Seething Silence,Yoneko (米子),The dragon of wisdom having succumbed to madness. The memories of those he once held dear lie in the depths beneath the waves. Appears in Fire Emblem Fates.,5,Blue Breath,Armored,Imari Williams,Nobunaga Shimazaki (島﨑信長),2023-05-09,Fates,7.5,PID_闇ハイドラ(948),110009901000,2023-05-08,,,,,,,,,,,,,,,,,,,,,,,
Anna_Commander,Anna,Commander,Kozaki Yusuke (コザキユースケ),A veteran fighter who leads the Order of Heroes. Alfonse and Sharena's commander.,4—Story,Axe,Infantry,Karen Strassman,Saori Seto (世戸さおり),2017-02-02,Heroes,1.0,PID_アンナ(1),00000100300,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Secret_Charmer,Anna,Secret Charmer,Konfuzi Kokon (紺藤ココン),"A merchant with many secrets who has been swept up in the world of the bridal festival, now hatching schemes to make an easy fortune. Appears in Fire Emblem Awakening.",5Focus —Special,Green bow,Cavalry,Karen Strassman,Saori Seto (世戸さおり),2023-05-19,Awakening,7.5,PID_花嫁アンナ覚醒(951),100004900500,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Secret_Seller,Anna,Secret Seller,kaya8,A merchant who travels the Halidom of Ylisse. She has many sisters who share both her face and name. Appears in Fire Emblem Awakening.,4SR,Lance,Infantry,Karen Strassman,Saori Seto (世戸さおり),2020-06-05,Awakening,4.6,PID_覚醒アンナ(527),100004900500,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Twice_the_Anna,Anna,Twice the Anna,Miwabe Sakura (みわべさくら),Sisters from different worlds. They don the other's outfit and work together to develop a marketing plan. They appear in Fire Emblem Engage / Fire Emblem Awakening.,5Focus —SpecialHarmonized,Axe,Flying,Monica Rial+Karen Strassman,Saori Seto (世戸さおり),2023-10-05,,7.10,PID_双界アンナ(1004),140000600100,2023-10-03,,,,,,,,,,"Grants【Resonance: Blades】and【Resonance: Shields】and restores 99 HP to unit and allies from the same titles as unit. Grants Special cooldown count-5 to unit.(Harmonized Skills can be used by tapping the Harmonized button. This skill can only be used once per map. Harmonized Skills cannot be used by units deployed usingPair Up.) Grants【Resonance: Blades】and【Resonance: Shields】and restores 99 HP to unit and allies from the same titles as unit. Grants Special cooldown count-5 to unit.【Resonance: Blades】Grants Atk/Spd+4 during combat for 1 turn.【Resonance: Shields】Grants Def/Res+4 during combat and the following effect for 1 turn: ""During unit's first combat in player phase or enemy phase, foe cannot make a follow-up attack.""(Harmonized Skills can be used by tapping the Harmonized button. This skill can only be used once per map. Harmonized Skills cannot be used by units deployed usingPair Up.)",Engage/AwakeningIncreases scores inResonant Battles.(More details can be found in the Help messages within Resonant Battles.),AwakeningEngage,,,,,,,,,,,
Anna_Wealth-Wisher,Anna,Wealth-Wisher,hanekoto (はねこと),Commander of the Order of Heroes. Hatched a brilliant strategy for taking advantage of the new year in order to draw in customers.,4SR—Special,Red bow,Infantry,Karen Strassman,Saori Seto (世戸さおり),2020-01-01,Heroes,4.0,PID_年明アンナ(469),00000100300,2019-12-25,,,,,,,,,,,,,,,,,,,,,,,
Annand_Knight-Defender,Annand,Knight-Defender,Mayo (まよ),Leader of the Four Heavenly Knights of Silesse and Erinys's elder sister. Conceals her longing for Lewyn and fights to her last breath. Appears in Fire Emblem: Genealogy of the Holy War.,4SR,Sword,Flying,Fryda Wolff,Yuri Amano (天野由梨),2021-02-16,Genealogy of the Holy War,5.2,PID_マーニャ(627),30001001100,,,,,,,,,,,,,,,,,,,,,,,,
Annette_Festive_Helper,Annette,Festive Helper,kiyu/Trys Inc.,A student with the Blue Lions who works twice as hard as anyone. Joins the festival as a good learning experience. Appears in Fire Emblem Warriors: Three Hopes.,4— 5Focus —Special,Colorless bow,Armored,Abby Trott,Takako Tanaka (田中貴子),2022-12-16,Three Houses,7.0,PID_冬祭アネット(890),120000300700,,,,,,,,,,,,,,,,,,,,,,,,
Annette_Overachiever,Annette,Overachiever,Tsukito (月戸),"Noblewoman of the Holy Kingdom of Faerghus and niece to Baron Dominic. Ever the good student, she can sometimes overdo it. Appears in Fire Emblem: Three Houses.",4SR,Axe,Infantry,Abby Trott,Takako Tanaka (田中貴子),2020-03-06,Three Houses,4.3,PID_アネット(496),120000300700,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,
Arden_Strong_and_Tough,Arden,Strong and Tough,Soeda Ippei (添田一平),"An armored knight from Chalphy. Dreams of fighting on the front lines, but is often assigned to castle defense. Appears in Fire Emblem: Genealogy of the Holy War.",4— 5—Tempest Trials,Sword,Armored,Mick Wingert,Toru Okawa (大川透),2017-10-23,Genealogy of the Holy War,1.8,PID_アーダン(181),30000101100,2017-10-16,,,,,,,,,,,,,,,,,,,,,,,
Ares_Black_Knight,Ares,Black Knight,PenekoR (п猫Ｒ),"Eldigan's son and heir to Mystletainn. After his parents passed away, he joined up with a mercenary captain called Javarro. Appears in Fire Emblem: Genealogy of the Holy War.",3— 4,Sword,Cavalry,Robbie Daymond,Kazuyuki Okitsu (興津和幸),2018-05-10,Genealogy of the Holy War,2.5,PID_アレス(246),30007900200,2018-05-09,,,,,,,,,,,,,,,,,,,,,,,
Arete_Requiems_Beauty,Arete,Requiem's Beauty,Azusa,The combination of her alluring figure and her songbird voice are said to have entranced royals everywhere from Valla to Nohr. Appears in Fire Emblem Fates.,3— 5—Grand Hero Battle,Red Tome,Cavalry,Sara Cravens,Yuka Keicho (慶長佑香),2021-07-20,Fates,5.7,PID_シェンメイ(688),110009900500,2021-07-19,,,,,,,,,,,,,,,,,,,,,,,
Arion_Gungnirs_Heir,Arion,Gungnir's Heir,motsutsu/Trys Inc.,"Prince of Thracia, land of wyvern knights. Son of King Travant, he has been entrusted with his homeland's future. Appears in Fire Emblem: Genealogy of the Holy War.",3— 4—Grand Hero Battle,Lance,Flying,Dio Garner,Kazuki Kyan (喜屋武和輝),2023-09-16,Genealogy of the Holy War,7.9,PID_アリオーン(1002),30009100200,2023-09-15,,,,,,,,,,,,,,,,,,,,,,,
Arlen_Mage_of_Khadein,Arlen,Mage of Khadein,Shimomura Watari (霜村航),"A mage entrusted with Khadein's future by the sage Wendell. He is envious of Merric, who inherited Excalibur. Appears in Fire Emblem: Mystery of the Emblem.",5,Colorless Tome,Infantry,Bobby Foley,Takeo Otsuka (大塚剛央),2024-03-15,Shadow Dragon/ (New)Mystery,8.3,PID_エルレーン(1077),10000500200,,,,,,,,,,,,,,,,,,,,,,,,
Arthur_Furious_Mage,Arthur,Furious Mage,HASUMI KAORU (蓮水薫),"Raised alone in Silesse, separated from his sister and mother at a young age, he harbors resentment toward House Friege. Appears in Fire Emblem: Genealogy of the Holy War.",4SR,Green Tome,Infantry,Joe Mucciolo,Reiou Tsuchida (土田玲央),2022-04-18,Genealogy of the Holy War,6.4,PID_アーサー(795),30005601100,,,,,,,,,,,,,,,,,,,,,,,,
Arthur_Hapless_Hero,Arthur,Hapless Hero,Mendako (メンダコ)/INTELLIGENT SYSTEMS,A sworn ally of justice with uncannily bad luck. One of Elise's retainers. Appears in Fire Emblem Fates.,3— 4,Axe,Infantry,Cam Clarke,Riki Kitazawa (北沢力),2017-02-02,Fates,1.0,PID_ハロルド(52),110000501300,,,,,,,,,,,,,,,,,,,,,,,,
Artur_Silver_Saint,Artur,Silver Saint,Tobi,A sincere monk of Renais who has come to Askr to play the role of winter envoy. Appears in Fire Emblem: The Sacred Stones.,4SR—Special,Green Tome,Armored,Adin Rudd,Keisuke Koumoto (河本啓佑),2021-12-16,The Sacred Stones,6.0,PID_冬祭アスレイ(746),70000102200,,,,,,,,,,,,,,,,,,,,,,,,
Arval_Cycle_Keeper,Arval,Cycle Keeper,Nijimaarc (にじまあるく),A mysterious being who exists on the edge of dreams and reality. Fond of offering advice and intent on providing guidance. Appears in Fire Emblem Warriors: Three Hopes.,5Focus —Mythic,Colorless Tome,Infantry,Melissa Hutchison,Mutsumi Tamura (田村睦心),2022-10-31,Three Houses,6.10,PID_神階ラルヴァ(868),120001100300,,,,,,,,,,,,,,Anima,"HP+5, Res+5",,Defensive Team Bonus,,,,,,,
Arvis_Emperor_of_Flame,Arvis,Emperor of Flame,Teita (悌太),"Duke of Velthomer, and descendant of the crusader Fjalar and Maera of the imperial family. Appears in Fire Emblem: Genealogy of the Holy War.",3— 4—Grand Hero Battle,Red Tome,Infantry,Xander Mobus,Sho Hayami (速水奨),2017-10-18,Genealogy of the Holy War,1.8,PID_アルヴィス(182),30000300100,2017-10-16,,,,,,,,,,,,,,,,,,,,,,,
Asbel_Windswept_Youth,Asbel,Windswept Youth,Wada Sachiko (ワダサチコ),"A wind mage from a small city in Ulster, Hrest. Undertakes a long journey in search of Leif in order to fulfill his pledge. Appears in Fire Emblem: Thracia 776.",4SR,Green Tome,Infantry,Kylen Deporter,Rie Kugimiya (釘宮理恵),2021-01-08,Thracia 776,5.1,PID_アスベル(612),40000300100,2021-01-07,,,,,,,,,,,,,,,,,,,,,,,
Ash_Earnest_Greetings,Ash,Earnest Greetings,Yoshiro Ambe (あんべよしろう),Retainer to Askr. She welcomes the new year with gratitude.,5Focus —Special,Blue Beast,Infantry,Lily Emil Lammers,Shino Shimoji (下地紫野),2023-01-01,Heroes,7.0,PID_年明アシュ(895),00000600200,2022-12-28,,,,,,,,,,,,,,,,,,,,,,,
Ash_Retainer_to_Askr,Ash,Retainer to Askr,Kozaki Yusuke (コザキユースケ),"Retainer to Askr, god of connections and strong bonds. Earnest and polite, she strives to always say exactly what she means.",5Focus —Mythic,Colorless Beast,Infantry,Lily Emil Lammers,Shino Shimoji (下地紫野),2021-12-07,Heroes,6.0,PID_アシュ(738),00000600200,2021-12-06,,,,,,,,,,,,,Light,"HP+5, Atk+3",,Raiding Party Bonus,,,,,,,
