Name,Range,Description,SP
Restore,1,"Restores 8 HP.Neutralizes ally's penalties (from skills like Panic, Threaten, etc.) and negative status effects (preventing counterattacks, restricting movement, etc.) that last through ally's next action.",200
Restore+,1,"Restores HP = 50% of Atk. (Minimum of 8 HP.)Neutralizes ally's penalties (from skills like Panic, Threaten, etc.) and negative status effects (preventing counterattacks, restricting movement, etc.) that last through ally's next action.",300
Rally Atk/Res,1,Grants Atk/Res+3 to target ally for 1 turn.,300
Rally Atk/Res+,1,Grants Atk/Res+6 to target ally for 1 turn.,400
Pivot,1,Unit moves to opposite side of target ally.,150
To Change Fate!,1,"Moves target ally to opposite side of unit and grants another action to unit. Grants Atk+6 to unit and Pair Up cohort (if any) for 1 turn and inflicts【Isolation】on unit and Pair Up cohort (if any) through their next action. (Does not stack.)【Isolation】Target cannot use or be the target of Assist skills through its next action. (Target can neither use nor be the target of skills like Dance and Sing, skills that neutralize penalties, like Restore and Harsh Command+, etc.)",500
To Change Fate! II,1,"Moves target ally to opposite side of unit.  Grants another action to unit, grants Atk/Def+6 and【Bonus Doubler】to unit and Pair Up cohort  (if any) for 1 turn, and inflicts【Isolation】 on unit and Pair Up cohort (if any) through their  next action. (Once per turn.)【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Isolation】Target cannot use or be the target of Assist skills through its next action. (Target can neither use nor be the target of skills like Dance and Sing, skills that neutralize penalties, like Restore and Harsh Command+, etc.)",500
A Fate Changed!,1,"Moves target ally to opposite side of unit and grants another action to unit. Grants any【Bonus】active on target ally to unit and Pair Up cohort (if any) for 1 turn and inflicts【Isolation】on unit and Pair Up cohort (if any) through their next action. (Additional action granted and Isolation inflicted once per turn only. Granted bonuses exclude stat bonuses inverted by Panic.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Isolation】Target cannot use or be the target of Assist skills through its next action. (Target can neither use nor be the target of skills like Dance and Sing, skills that neutralize penalties, like Restore and Harsh Command+, etc.)",500
Fate Unchanged...,1,"Moves target ally to opposite side of unit, grants another action to unit, inflicts【Isolation】 on unit and Pair Up cohort (if any) through their next action, inflicts【Exposure】on nearest foes within 4 spaces of both unit and target ally after movement through their next actions and on foes within 2 spaces of those foes equipped with a skill that can trigger the Savior effect through their next actions. (Additional action granted and Isolation inflicted once per turn only.)【Isolation】Target cannot use or be the target of Assist skills through its next action. (Target can neither use nor be the target of skills like Dance and Sing, skills that neutralize penalties, like Restore and Harsh Command+, etc.)【Exposure】Foe's attacks deal +10 damage.",500
Rescue,1,"Restores 8 HP to target ally. Unit moves 1 space away from target ally. Ally moves to unit's previous space.If unit or ally cannot move to the target space (if another ally or foe is occupying the space), unit and ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",200
Rescue+,1,"Restores HP = 50% of unit's Atk (min 8 HP) to target ally. Unit moves 1 space away from target ally. Ally moves to unit's previous space.If unit or ally cannot move to the target space (if another ally or foe is occupying the space), unit and ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",300
Rally Defense,1,Grants Def+4 to target ally for 1 turn.,150
Rehabilitate,1,"Slows Special trigger (cooldown count+1).If target's HP is ≤ 50%, the lower the target's HP, the more HP is restored. (Minimum of 7 HP.)",200
Rehabilitate+,1,"Restores HP = 50% of Atk -10. (Minimum of 7 HP.)If target's HP is ≤ 50%, the lower the target's HP, the more HP is restored.",300
Rally Up Def,1,Grants Def+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,300
Rally Up Def+,1,Grants Def+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,400
Reposition Gait,1,"Target ally moves to opposite side of unit.If unit uses an Assist skill on the current turn, enables【Canto (１)】.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Magic Shield,1,"Restores 8 HP to target ally and grants the following effects to target ally for 1 turn: grants Atk/Res+4 and ""neutralizes penalties on unit during combat."" (Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. This skill is treated as a Rally Assist skill.)",300
Magic Shield+,1,"Restores HP = 50% of unit's Atk (min: 8 HP) to target ally and grants the following effects to target ally for 1 turn: Atk/Res+6 and ""neutralizes penalties on unit during combat."" If used on turn 2 onward, also grants another action to unit and inflicts ""restricts movement to 1 space"" on unit and Pair Up cohort through their next action. (Effects that can trigger on turn 2 will not trigger again for 2 turns after triggering. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. This skill is treated as a Rally Assist skill.)",400
Play,1,Grants another action to target ally. (That turn only. Does not stack. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),150
Rally Up Atk,1,Grants Atk+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,300
Rally Up Atk+,1,Grants Atk+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,400
Return,1,"Restores 8 HP to target ally and target ally moves to opposite side of unit.If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",200
Return+,1,"Restores HP = 50% of unit's Atk (min 8 HP) to target ally and target ally moves to opposite side of unit.If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",300
Physic,2,Restores 8 HP to target ally. Range = 2.,200
Physic+,2,Restores HP = 50% of Atk. (Minimum of 8 HP.) Range = 2.,300
Gold Serpent,1,"Grants the following effects to unit and target ally for 1 turn: from turn 1 on, grants Atk/Spd+X (X = number of turns × 2; max 8); from turn 2 on, enables【Canto (１)】; from turn 3 on, grants【Treachery】; and from turn 4 on, grants【Dual Strike】. Grants another action to unit. (Additional action and effects other than stat bonuses granted once per turn only. This skill treated as a Rally Assist skill.)【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Treachery】Unit deals additional damage = total bonuses on unit for 1 turn.【Dual Strike】If unit initiates combat and is adjacent to an ally with Dual Strike (excluding unit), unit attacks twice. (That turn only. Does not stack.)",400
Ice Lock,2,"This skill is treated as a Rally Assist skill.Restores 6 HP to target ally, grants Def/Res+4 to target ally for 1 turn, and also, if there is no【Divine Vein (Ice)】currently applied by unit or allies, applies【Divine Vein (Ice)】to spaces 2 spaces away from target for 1 turn (excludes spaces occupied by a foe, destructible terrain other than【Divine Vein (Ice)】, and warp spaces in Rival Domains; using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP).【Divine Vein (Ice)】Applies the following status on space: Foes treat space as impassable terrain while status is active, but status is destructible (with 1 HP). Allies can move into and occupy space. If any allies occupy spaces with Divine Vein (Ice) applied, attacks targeting those spaces will hit the ally over destroying the Divine Vein (Ice). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain. Does not trigger in Pawns of Loki.)",300
Ice Lock+,2,"This skill is treated as a Rally Assist skill.Restores HP = 40% of unit's Atk (min: 6 HP) to target ally and grants Def/Res+6 to target ally for 1 turn, and also, if there is no 【Divine Vein (Ice)】currently applied by unit or allies, applies【Divine Vein (Ice)】to spaces 2 spaces away from target for 1 turn (excludes spaces occupied by a foe, destructible terrain other than【Divine Vein (Ice)】, and warp spaces in Rival Domains). If used on turn 2 onward, also grants another action to unit and inflicts ""restricts movement to 1 space"" on unit and Pair Up cohort through their next action. (Effects that can trigger on turn 2 onward will not trigger again for 2 turns after triggering; using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP.)【Divine Vein (Ice)】Applies the following status on space: Foes treat space as impassable terrain while status is active, but status is destructible (with 1 HP). Allies can move into and occupy space. If any allies occupy spaces with Divine Vein (Ice) applied, attacks targeting those spaces will hit the ally over destroying the Divine Vein (Ice). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain. Does not trigger in Pawns of Loki.)",400
Rally Up Res,1,Grants Res+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,300
Rally Up Res+,1,Grants Res+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,400
Future Sight,1,"Unit and target ally swap spaces. Grants Atk/Spd+6,【Treachery】, and ""if unit initiates combat, reduces damage from foe's first attack during combat by 40%"" to unit and target ally for 1 turn. Grants another action to unit. (Additional action granted once per turn only.)【Treachery】Unit deals additional damage = total bonuses on unit for 1 turn.",400
Future Vision,1,Unit and target ally swap spaces. Grants another action to unit. (Additional action granted once per turn only.),400
Future Vision II,1,Unit and target ally swap spaces. Inflicts Atk/Def-7 on nearest foes within 4 spaces of both unit and target through their next actions. Grants another action to unit. (Additional action granted once per turn only.),400
Future Focus,1,"Unit and target ally swap spaces. Grants 【Future Witness】and【Null Follow-Up】to allies within 2 spaces of both unit and target after movement for 1 turn (including unit and target), grants Special cooldown-1 to unit and those allies, and grants another action to unit (once per turn).【Future Witness】Enables【Canto (２)】.Grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if unit initiates combat and foe's attack can trigger foe's Special, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed the foe's maximum Special cooldown).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Rally Spd/Def,1,Grants Spd/Def+3 to target ally for 1 turn.,300
Rally Spd/Def+,1,Grants Spd/Def+6 to target ally for 1 turn.,400
Sacrifice,1,Converts penalties on target into bonuses. Restores HP to target = unit's current HP-1. Reduces unit's HP by amount restored.,400
Maiden's Solace,1,"Converts penalties on target into bonuses and then neutralizes any【Penalty】that remains. Restores HP to target = unit's current HP-1. Reduces unit's HP by amount restored.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",400
Whimsical Dream,1,Grants another action to target ally. Grants Atk+5 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn. Inflicts Atk-5 on nearest foes within 4 spaces of target ally and any foe within 2 spaces of those foes through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),400
Whimsical Dream+,1,"Grants another action to target ally. Grants Atk+6 and ""neutralizes foe's bonuses during combat"" to target ally and allies within 2 spaces of target ally (excluding unit) for 1 turn. Inflicts Atk-6 on nearest foes within 5 spaces of target ally and any foe within 2 spaces of those foes through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",400
Spring's Dream,1,Grants another action to target ally. Grants Atk+6 and【Bonus Doubler】to target ally and allies within 2 spaces of target ally (excluding unit) for 1 turn. Inflicts Atk-6 and【Panic】 on nearest foes within 5 spaces of target ally and any foe within 2 spaces of those foes through their next actions. (Cannot target an ally with Sing or Dance; this skill treated as Sing or Dance.)【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Panic】Converts bonuses on target into penalties through its next action.,400
Call to Flame,1,"Grants another action to target ally and grants Atk+6 and Special cooldown charge +1 per attack during combat to that ally for 1 turn. (Only highest value applied. Does not stack.) Also, if the target ally is a dragon, target can move 1 extra space. (That turn only. Does not stack. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",400
Dragon's Dance,1,"Grants another action to target ally. If used on turn 2 onward, also grants another action to unit, grants Atk/Spd+6 to unit and Pair Up cohort (if any) for 1 turn, and inflicts【Isolation】 on unit and Pair Up cohort (if any) through their next action. (Effects that can trigger on turn 2 onward will not trigger again for 3 turns after triggering. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)【Isolation】Target cannot use or be the target of Assist skills through its next action. (Target can neither use nor be the target of skills like Dance and Sing, skills that neutralize penalties, like Restore and Harsh Command+, etc.)",400
Gentle Dream,1,"Grants another action to target ally. Grants Atk/Spd/Def/Res+3 and the following status to target ally and allies in cardinal directions of unit and target (excluding unit): ""Unit can move to a space adjacent to any ally within 2 spaces."" (That turn only. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",400
Gentle Dream+,1,"Grants another action to target ally. Grants Atk/Spd/Def/Res+4 and the following statuses to target ally and allies in cardinal directions of unit and target (excluding unit): ""unit can move to a space adjacent to any ally within 2 spaces"" and ""neutralizes penalties on unit during combat."" (That turn only. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",400
Sweet Dreams,1,Grants another action to target ally and grants Atk/Spd/Def/Res+3 to target ally for 1 turn. Inflicts Atk/Spd/Def/Res-4 on nearest foes within 4 spaces of target ally through foes' next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.),400
Sweet Dreams+,1,"Grants another action to target ally and grants Atk/Spd/Def/Res+5, ""if unit initiates combat, unit makes a guaranteed follow-up attack,"" and 【Hexblade】to target ally for 1 turn. Inflicts Atk/Spd/Def/Res-5 on nearest foes within 5 spaces of target ally through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)【Hexblade】Calculates damage using the lower of foe's Def or Res during combat for 1 turn (including damage dealt by Specials before combat).",400
Dreamlike Night,1,"Grants another action to target ally, and if Canto has already been triggered by target ally, re-enables Canto. Inflicts Atk/Def/Res-7, 【Frozen】, and【Sabotage】on closest foes to target ally and any foe within 2 spaces of those foes through their next actions (cannot target an ally with Sing or Dance; this skill treated as Sing or Dance).【Frozen】Reduces inflicted unit's follow-up ability and increases foe's follow-up ability through unit's next action:Increases Spd difference necessary for unit to make a follow-up attack by X and decreases Spd difference necessary for foe to make a follow-up attack by X during combat (if foe's Def > unit's Def, X = 10 + difference between Def stats × 2; otherwise, X = 10). (For example, if Spd difference necessary increases by 10, Spd must be ≥ 15 more than foe's Spd to make a follow-up attack; stacks with similar skills.)【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",400
Frightful Dream,1,Grants another action to target ally. Inflicts Atk/Spd/Def/Res-3 and【Guard】on foes in cardinal directions of unit and target through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.),400
Frightful Dream+,1,"Grants another action to target ally. Inflicts Atk/Spd/Def/Res-5,【Guard】, and【Discord】 on foes in cardinal directions of unit and target ally through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",400
Harrowing Dream,1,"Grants another action to target ally. Inflicts Atk/Spd/Def/Res-5,【Guard】, and 【Sabotage】on foes in cardinal directions of unit and target ally through their next actions. (Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.",400
Foul Play,3,Unit and target ally swap spaces.,400
