Name,Type,Description,SP
Def Smoke 2,C,Inflicts Def-5 on foes within 2 spaces of target through their next actions after combat.,120
Def Smoke 3,C,Inflicts Def-7 on foes within 2 spaces of target through their next actions after combat.,240
Def/Res Smoke 3,C,"After combat, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions, grants Atk+6 to unit and allies within 2 spaces of unit for 1 turn, and grants【Pathfinder】to unit for 1 turn.【Pathfinder】When an ally moves through unit's space, that space is counted as 0 spaces moved instead of 1 space. (Unit's space can be freely added to ally's normal movement. Applies only to allies with movement types that allow movement through unit's space.)",300
Bonus Doubler 1,A,Grants bonus to Atk/Spd/Def/Res during combat = 50% of current bonus on each of unit's stats. Calculates each stat bonus independently.,60
Bonus Doubler 2,A,Grants bonus to Atk/Spd/Def/Res during combat = 75% of current bonus on each of unit's stats. Calculates each stat bonus independently.,120
Bonus Doubler 3,A,Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats. Calculates each stat bonus independently.,240
Atk/Spd Oath 1,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Spd+3 to unit for 1 turn.",60
Atk/Spd Oath 2,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Spd+4 to unit for 1 turn.",120
Atk/Spd Oath 3,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Spd+5 to unit for 1 turn.",240
Atk/Spd Finish 1,A,"If unit is within 3 spaces of an ally, grants Atk/Spd+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60
Atk/Spd Finish 2,A,"If unit is within 3 spaces of an ally, grants Atk/Spd+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120
Atk/Spd Finish 3,A,"If unit is within 3 spaces of an ally, grants Atk/Spd+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240
Atk/Spd Finish 4,A,"If unit is within 3 spaces of an ally, grants Atk/Spd+7 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat (except when dealing damage with area-of-effect Specials), and when unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)",300
Null C-Disrupt 1,B,"At start of combat, if unit's HP = 100%, neutralizes effects that prevent unit's counterattacks during combat.",60
Null C-Disrupt 2,B,"At start of combat, if unit's HP ≥ 50%, neutralizes effects that prevent unit's counterattacks during combat.",120
Null C-Disrupt 3,B,Neutralizes effects that prevent unit's counterattacks during combat.,240
Null C-Disrupt 4,B,"Inflicts Atk/Spd-4 on foe, neutralizes effects that prevent unit's counterattacks, and reduces damage from foe's first attack by 30% during combat.",300
Atk/Spd Pledge,C,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6 and ""Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack)"" to unit for 1 turn. If unit is within 2 spaces of an ally, grants Atk/Spd+3 to unit during combat.",300
Atk/Spd Ideal 1,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60
Atk/Spd Ideal 2,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120
Atk/Spd Ideal 3,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240
Atk/Spd Ideal 4,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Atk/Spd+7 to unit during combat. At start of combat, if unit's HP = 100% and【Bonus】is active on unit, grants an additional Atk/Spd+2 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Close Call 1,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 2 (max 20%). If unit initiates combat, unit moves 1 space away after combat.",60
Close Call 2,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 3 (max 30%). If unit initiates combat, unit moves 1 space away after combat.",120
Close Call 3,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%). If unit initiates combat, unit moves 1 space away after combat.",240
Close Call 4,B,"Inflicts Spd/Def-4 on foe during combat. If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 5 (max 50%). If unit initiates combat, unit moves 1 space away after combat.",300
Spd Smoke 1,C,Inflicts Spd-3 on foes within 2 spaces of target through their next actions after combat.,60
Spd Smoke 2,C,Inflicts Spd-5 on foes within 2 spaces of target through their next actions after combat.,120
Spd Smoke 3,C,Inflicts Spd-7 on foes within 2 spaces of target through their next actions after combat.,240
Spd Smoke 4,C,"After combat, inflicts Spd-7 on target and foes within 2 spaces of target through their next actions, and grants Spd+6 and【Dodge】 to unit for 1 turn.【Dodge】If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).",300
Repel 1,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 2 (max 20%). If unit initiates combat, foe is moved 1 space away after combat.",60
Repel 2,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 3 (max 30%). If unit initiates combat, foe is moved 1 space away after combat.",120
Repel 3,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%). If unit initiates combat, foe is moved 1 space away after combat.",240
Repel 4,B,"Inflicts Spd/Def-4 on foe during combat. If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 5 (max 50%). If unit initiates combat, foe is moved 1 space away after combat.",300
Green Feud 1,C,"If in combat against a green foe, disables skills of all foes, excluding foe in combat. During combat, disables skills of all green foes, excluding foe in combat.",60
Green Feud 2,C,"If in combat against a green foe, disables skills of all foes, excluding foe in combat, and inflicts Atk/Spd/Def/Res-2 on foe during combat. During combat, disables skills of all green foes, excluding foe in combat.",120
Green Feud 3,C,"If in combat against a green foe, disables skills of all foes, excluding foe in combat, and inflicts Atk/Spd/Def/Res-4 on foe during combat. During combat, disables skills of all green foes, excluding foe in combat.",240
Emblems' Miracle,A,"Unit can counterattack regardless of foe's range. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+9 to unit during combat and reduces damage from foe's first attack during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 40% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). If the number of allies within 3 spaces of unit ≥ 3 and foe initiates combat, if unit's HP > 1 and foe would reduce unit's HP to 0 during combat, unit survives with 1 HP, and after combat, restores 99 HP to unit (effect only triggers for player's team once per map and does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce unit's HP to 0; when any other such effect triggers on a unit granted this effect, this effect will trigger too).",300
Spd/Res Bulwark 1,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Spd/Res-2 on foe during combat. Restores 3 HP to unit after combat.",60
Spd/Res Bulwark 2,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Spd/Res-3 on foe during combat. Restores 5 HP to unit after combat.",120
Spd/Res Bulwark 3,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Spd/Res-4 on foe during combat. Restores 7 HP to unit after combat.",240
S/R Bulwark 4,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills). Inflicts Spd/Res-4 on foe and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). Restores 7 HP to unit after combat.",300
Bond Breaker,A,"Unit can counterattack regardless of foe's range.At start of player phase or enemy phase, if unit's HP ≥ 25%, grants【Fell Spirit】to unit and allies within 2 spaces of unit for 1 turn, and inflicts Atk/Spd-7 and【Schism】on closest foes and any foes within 2 spaces of those foes through their next actions.If foe initiates combat or if unit's HP ≥ 25% at start of combat, grants Atk/Spd/Def/Res+9 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if unit's HP > 1 and foe would reduce unit's HP to 0, unit survives with 1 HP (once per combat; does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce HP to 0).【Fell Spirit】Inflicts Atk/Spd/Def/Res-4 on foe and neutralizes effects that prevent unit's counterattacks during combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), and also, when unit or foe is engaged, inflicts an additional Atk/Spd/Def/Res-2 on foe during combat.(For 1 turn.)【Schism】Neutralizes Triangle Attack, Dual Strike, and Pathfinder effects active on unit through unit's next action. Unit is excluded from ally Triangle Attack and Dual Strike effects calculated using numbers of allies. When this status (Schism) is neutralized, Triangle Attack, Dual Strike, and Pathfinder effects are also neutralized.",300
Spd/Def Bulwark 1,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Spd/Def-2 on foe during combat. Restores 3 HP to unit after combat.",60
Spd/Def Bulwark 2,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Spd/Def-3 on foe during combat. Restores 5 HP to unit after combat.",120
Spd/Def Bulwark 3,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Spd/Def-4 on foe during combat. Restores 7 HP to unit after combat.",240
S/D Spiked Wall,B,"Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).Inflicts Spd/Def-4 on foe, deals damage = 15% of the greater of unit's Spd or Def (excluding area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",300
Odd Spd Wave 1,C,"At start of odd-numbered turns, grants Spd+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60
Odd Spd Wave 2,C,"At start of odd-numbered turns, grants Spd+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120
Odd Spd Wave 3,C,"At start of odd-numbered turns, grants Spd+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240
Odd Spd Wave 4,C,"At start of turn, grants Spd+6 to unit and allies within 2 spaces of unit for 1 turn.If unit's Spd ≥ foe's Spd-5, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.If it is an odd-numbered turn, grants Spd+6 to unit during combat.",300
S/R Spiked Wall,B,"Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).Inflicts Spd/Res-4 on foe, deals damage = 15% of the greater of unit's Spd or Res (excluding area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",300
Even Res Wave 1,C,"At start of even-numbered turns, grants Res+2 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",60
Even Res Wave 2,C,"At start of even-numbered turns, grants Res+4 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",120
Even Res Wave 3,C,"At start of even-numbered turns, grants Res+6 to unit and adjacent allies for 1 turn.(Bonus granted to unit even if no allies are adjacent.)",240
Even Res Wave D,C,"At start of turn, grants Res+6 to unit and allies within 2 spaces of unit for 1 turn.If unit's Res ≥ foe's Res+5 and foe's attack can trigger foe's Special, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed the foe's maximum Special cooldown).If it is an even-numbered turn, grants Res+6 to unit during combat.",300
Water Boost 1,A,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+2 during combat.",50
Water Boost 2,A,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+4 during combat.",100
Water Boost 3,A,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+6 during combat.",200
Diluvial Boost,A,"Grants HP+5.If foe initiates combat or if unit's HP ≥ 50% at start of combat, grants Atk/Def/Res+9 to unit during combat and restores 7 HP to unit after combat.",300
Special Fighter 1,B,"At start of combat, if unit's HP ≥ 90%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",60
Special Fighter 2,B,"At start of combat, if unit's HP ≥ 70%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",120
Special Fighter 3,B,"At start of combat, if unit's HP ≥ 50%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",240
Scowling Fighter,B,"If foe initiates combat or if unit's HP ≥ 25% at start of combat, inflicts Atk/Res-4 on foe, deals damage = 20% of unit's Res (excluding area-of-effect Specials), reduces damage from foe's attacks by 20% of unit's Res (excluding area-of-effect Specials), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed the foe's maximum Special cooldown).",300
Distant Guard 1,C,"Allies within 2 spaces gain: ""If foe uses bow, dagger, magic, or staff, grants Def/Res+2 during combat.""",60
Distant Guard 2,C,"Allies within 2 spaces gain: ""If foe uses bow, dagger, magic, or staff, grants Def/Res+3 during combat.""",120
Distant Guard 3,C,"Allies within 2 spaces gain: ""If foe uses bow, dagger, magic, or staff, grants Def/Res+4 during combat.""",240
Higher Ground,C,"Foes with Range = 1 cannot warp into spaces within 3 spaces of unit and foes with Range = 2 cannot warp into spaces within 4 spaces of unit (does not affect foes with Pass skills or warp effects from structures, like camps and fortresses in Rival Domains).If foe with Range = 2 initiates combat against an ally within 2 spaces of unit, triggers 【Savior】on unit.If foe's Range = 2, grants Def/Res+4 to unit during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300
Spd/Res Finish 1,A,"If unit is within 3 spaces of an ally, grants Spd/Res+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60
Spd/Res Finish 2,A,"If unit is within 3 spaces of an ally, grants Spd/Res+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120
Spd/Res Finish 3,A,"If unit is within 3 spaces of an ally, grants Spd/Res+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240
Spd/Res Finish 4,A,"If unit is within 3 spaces of an ally, grants Spd/Res+7 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat (except when dealing damage with area-of-effect Specials), and when unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)",300
Close Counter,A,Unit can counterattack regardless of foe's range.,300
Special Spiral 1,B,"If unit initiates combat and unit's Special triggers before or during combat, grants Special cooldown count-1 after combat.",60
Special Spiral 2,B,"If Special triggers before or during combat, grants Special cooldown count-1 after combat.",120
Special Spiral 3,B,"If Special triggers before or during combat, grants Special cooldown count-2 after combat.",240
Def/Res Oath 1,C,"At start of turn, if unit is adjacent to an ally, grants Def/Res+3 to unit for 1 turn.",60
Def/Res Oath 2,C,"At start of turn, if unit is adjacent to an ally, grants Def/Res+4 to unit for 1 turn.",120
Def/Res Oath 3,C,"At start of turn, if unit is adjacent to an ally, grants Def/Res+5 to unit for 1 turn.",240
Fortress Def 1,A,Grants Def+3.Inflicts Atk-3.,40
Fort. Def/Res 1,A,Grants Def/Res+3.Inflicts Atk-3.,100
Fort. Def/Res 2,A,Grants Def/Res+4.Inflicts Atk-3.,200
Fortifications,A,"Inflicts Atk-5. Grants Def/Res+7.If unit is in a space where a Divine Vein effect is applied, unit can counterattack regardless of foe's range.If unit initiates combat, grants Def/Res+6 to unit and reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials).If unit has entered combat during the current turn, after unit acts (if Canto triggers, after Canto), applies【Divine Vein (Stone)】to unit's space and spaces within 2 spaces of unit for 1 turn.【Divine Vein (Stone)】Applies the following effects on space for unit and allies: Grants Def/Res+6 during combat, reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials), and reduces damage from area-of-effect Specials by 50% (excluding Røkkr area-of-effect Specials). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain.)",300
Guard 1,B,"At start of combat, if unit's HP = 100%, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",50
Guard 2,B,"At start of combat, if unit's HP ≥ 90%, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",100
Guard 3,B,"At start of combat, if unit's HP ≥ 80%, inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",200
Reopening,B,"At start of combat, if unit's HP ≥ 25%, inflicts Atk-5 on foe, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), deals damage = X% of unit's Def (excluding area-of-effect Specials), and reduces damage from foe's attacks by X% of unit's Def during combat (excluding area-of-effect Specials; if unit can make a follow-up attack or if unit triggers the ""unit attacks twice"" effect, X = 10; otherwise, X = 20).",300
Breath of Life 1,C,"If unit initiates combat, restores 3 HP to adjacent allies after combat.",50
Breath of Life 2,C,"If unit initiates combat, restores 5 HP to adjacent allies after combat.",100
Breath of Life 3,C,"If unit initiates combat, restores 7 HP to adjacent allies after combat.",200
Breath of Life 4,C,"For allies within 2 spaces of unit, restores X HP to that ally as their combat begins (triggers after effects that deal damage as combat begins; if ally's Def > foe's Def, X = 20% of ally's max HP + difference between stats × 4; otherwise, X = 20% of ally's max HP; max 40% of ally's max HP + damage dealt to ally as combat begins; only highest value applied; does not stack).For allies within 2 spaces of unit, grants Def+4 and reduces the effect of 【Deep Wounds】by 50% during combat.If unit is within 2 spaces of an ally, restores X HP to unit as unit's combat begins (triggers after effects that deal damage as combat begins; if unit's Def > foe's Def, X = 20% of unit's max HP + difference between stats × 4; otherwise, X = 20% of unit's max HP; max 40% of unit's max HP + damage dealt to unit as combat begins; only highest value applied; does not stack).If unit is within 2 spaces of an ally, grants Def+4 to unit and reduces the effect of【Deep Wounds】by 50% during combat.【Deep Wounds】Unit's HP cannot be healed through its next action.",300
Death Blow 1,A,"If unit initiates combat, grants Atk+2 during combat.",50
Death Blow 2,A,"If unit initiates combat, grants Atk+4 during combat.",100
Death Blow 3,A,"If unit initiates combat, grants Atk+6 during combat.",200
Spur Atk 1,C,Grants Atk+2 to adjacent allies during combat.,50
Spur Atk 2,C,Grants Atk+3 to adjacent allies during combat.,100
Spur Atk 3,C,Grants Atk+4 to adjacent allies during combat.,200
Sturdy Blow 1,A,"If unit initiates combat, grants Atk/Def+2 during combat.",120
Sturdy Blow 2,A,"If unit initiates combat, grants Atk/Def+4 during combat.",240
Def/Res Form 1,A,"If unit is within 2 spaces of an ally, grants Def/Res+X to unit during combat (X = number of allies within 2 spaces; max 3).",60
Def/Res Form 2,A,"If unit is within 2 spaces of an ally, grants Def/Res+X to unit during combat (X = number of allies within 2 spaces + 2; max 5).",120
Def/Res Form 3,A,"If unit is within 2 spaces of an ally, grants Def/Res+X to unit during combat (X = 2 × number of allies within 2 spaces, + 1; max 7).",240
Bold Fighter 1,B,"If unit's HP = 100% and unit initiates combat, grants Special cooldown charge +1 per unit's attack, and unit makes a guaranteed follow-up attack. (Does not stack.)",60
Bold Fighter 2,B,"If unit's HP ≥ 50% and unit initiates combat, grants Special cooldown charge +1 per unit's attack, and unit makes a guaranteed follow-up attack. (Does not stack.)",120
Bold Fighter 3,B,"If unit initiates combat, grants Special cooldown charge +1 per unit's attack, and unit makes a guaranteed follow-up attack. (Does not stack.)",240
Self-Improver,A,"Grants Atk+10, Spd+5, Def+20. Inflicts Res-5. At start of combat, if unit's HP ≥ 25%, inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",300
Flow N Trace 1,B,"Enables【Canto (Rem. +1)】.At the start of combat, if unit's HP = 100% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60
Flow N Trace 2,B,"Enables【Canto (Rem. +1)】.At the start of combat, if unit's HP ≥ 50% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120
Flow N Trace 3,B,"Enables【Canto (Rem. +1)】.If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240
Cross Spur Atk,C,Grants Atk+5 to allies in cardinal directions of unit during combat.,300
Attack +1,A,Grants Atk+1.,30
Attack +2,A,Grants Atk+2.,60
Attack +3,A,Grants Atk+3.,120
Windsweep 1,B,"If unit initiates combat, unit cannot make a follow-up attack. If unit’s Spd ≥ foe’s Spd+5 and foe uses sword, lance, axe, bow, dagger, or beast damage, foe cannot counterattack.",60
Windsweep 2,B,"If unit initiates combat, unit cannot make a follow-up attack. If unit’s Spd ≥ foe’s Spd+3 and foe uses sword, lance, axe, bow, dagger, or beast damage, foe cannot counterattack.",120
Windsweep 3,B,"If unit initiates combat, unit cannot make a follow-up attack. If unit’s Spd > foe’s Spd and foe uses sword, lance, axe, bow, dagger, or beast damage, foe cannot counterattack.",240
Scendscale,A,"Deals damage = 25% of unit's Atk, but after combat, if unit attacked, deals 7 damage to unit.",300
Chill Def 1,B,"At start of turn, inflicts Def-3 on foe on the enemy team with the highest Def through its next action.",60
Chill Def 2,B,"At start of turn, inflicts Def-5 on foe on the enemy team with the highest Def through its next action.",120
Chill Def 3,B,"At start of turn, inflicts Def-7 on foe on the enemy team with the highest Def through its next action.",240
Threaten Atk 1,C,"At start of turn, inflicts Atk-3 on foes within 2 spaces through their next actions.",50
Threat. Atk/Spd 1,C,"At start of turn, inflicts Atk/Spd-3 on foes within 2 spaces through their next actions.",100
Threat. Atk/Spd 2,C,"At start of turn, inflicts Atk/Spd-4 on foes within 2 spaces through their next actions.",200
