Name,Might,Range,Description,SP
Libération,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants【Charge】to unit and support partners within 3 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat and inflicts Spd/Def-X on foe during combat (X = number of distinct game titles among allies within 3 spaces of unit × 4, + 4; max 12), and also, if unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4; max 40%).【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",400
Divine One's Arts,11,1,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit and inflicts Atk/Spd/Def/Res-X on foe during combat (X = number of distinct game titles among allies within 3 spaces of unit × 3, + 4; max 10), reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed the foe's maximum Special cooldown). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Fell Child's Blade,16,1,"Accelerates Special trigger (cooldown count-1).For foes within 3 rows or 3 columns centered on unit, inflicts Atk/Spd/Def/Res-5 and neutralizes foe's bonuses during combat.If foe initiates combat or if unit's HP ≥ 25% at start of combat, inflicts penalty on foe's Atk/Spd/Def/Res = number of distinct game titles among allies within 3 spaces of unit × 3, + 4 (max 10), reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), unit deals +X damage (excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials), and reduces damage from foe's Specials by X during combat (excluding area-of-effect Specials; X = 20% of unit's Spd), and restores 7 HP to unit after combat.",400
Wintery Arts,11,1,"Accelerates Special trigger (cooldown count-1).Unit attacks twice (even if foe initiates combat, unit attacks twice).At start of turn, if unit is within 2 spaces of an ally, grants【Divinely Inspiring】to unit and allies within 2 spaces of unit for 1 turn.If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, inflicts penalty on foe's Atk/Spd/Def/Res = number of distinct game titles among allies within 3 spaces of unit × 3 + 4 (max 10), unit deals +X damage (X = 5 × the total of the number of distinct game titles among allies, excluding unit, and the number of engaged allies, excluding unit; max 15; excluding area-of-effect Specials), and reduces damage from foe's first attack by X during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).If foe's Range = 2, calculates damage using the lower of foe's Def or Res.【Divinely Inspiring】Grants bonus to unit's Atk/Spd/Def/Res = X × 3 (X = number of allies with the Divinely Inspiring effect within 3 spaces of unit, excluding unit; max 2), grants Special cooldown count-X to unit before foe's first attack, and when unit deals damage to foe during combat, restores X × 4 HP to unit during combat.",400
Fell Child's Arts,11,1,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice).If foe's Range = 2, calculates damage using the lower of foe's Def or Res.If foe initiates combat or if unit's HP ≥ 25% at start of combat, inflicts penalty on foe's Atk/Def/Res = number of distinct game titles among allies within 3 spaces of unit × 3, + 9 (max 15; if unit triggers Savior, value is treated as 15), reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), unit deals +X damage (X = 20% of unit's Res; excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials), and reduces damage from foe's Specials by X during combat (excluding area-of-effect Specials).",400
Maritime Arts,11,1,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice).If foe's Range = 2, calculates damage using the lower of foe's Def or Res.If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, inflicts penalty on foe's Atk/Spd/Def/Res = number of distinct game titles among allies within 3 spaces of unit × 3, + 4 (max 10), unit deals X damage (excluding area-of-effect Specials), reduces damage from foe's first attack by X (X = 5 × the total of the number of distinct game titles among allies, excluding unit, and the number of Engaged allies, excluding unit; max 15; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",400
Light,4,2,—,50
Ellight,6,2,—,100
Shine,9,2,—,200
Imbued Koma,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if Special is ready, grants Atk/Spd/Def/Res+5 during combat and foe cannot make a follow-up attack.",400
Iron Axe,6,1,—,50
Steel Axe,8,1,—,100
Silver Axe,11,1,—,200
Majestic Glitnir,16,1,"Enables【Canto (Dist. +1; Max ４)】.Accelerates Special trigger (cooldown count-1).At start of turn, if there is an ally within 3 rows or 3 columns centered on unit, grants Def/Res+6 to unit for 1 turn and unit can move 1 extra space (that turn only; does not stack), and also, if unit's Special cooldown count is at its maximum value, grants Special cooldown count-1.If unit initiates combat or if there is an ally within 3 rows or 3 columns centered on unit, grants Def/Res+X to unit, inflicts Def/Res-X on foe (X = 5 + number of allies within 3 rows or 3 columns centered on unit × 3; max 14), deals damage = 10% of unit's Def (excluding area-of-effect Specials), and reduces damage from foe's attacks by 10% of unit's Def during combat (excluding area-of-effect Specials), and also, when Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding area-of-effect Specials).If unit initiates combat or if there is an ally within 3 rows or 3 columns centered on unit, after combat, if unit's Special cooldown count is at its maximum value, grants Special cooldown count-1.【Canto (Dist. +1; Max ４)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position of unit before the above, +1. (Max ４.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Fólkvangr,16,1,"At start of turn, if unit's HP ≤ 50%, grants Atk+5 for 1 turn.",400
Giant Spoon,9,1,Deals +10 damage when Special triggers.,200
Giant Spoon+,13,1,Deals +10 damage when Special triggers.,300
Wind,4,2,—,50
Elwind,6,2,—,100
Amity Blooms,8,2,"If unit is within 2 spaces of an ally, inflicts Atk/Res-5 on foe during combat, and when unit deals damage to foe during combat, restores 4 HP to unit. (Triggers even if 0 damage is dealt.)",200
Amity Blooms+,12,2,"If unit is within 2 spaces of an ally, inflicts Atk/Res-5 on foe during combat, and when unit deals damage to foe during combat, restores 4 HP to unit. (Triggers even if 0 damage is dealt.)",300
Silver Lance,11,1,—,200
Arcane Qiang,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, unit makes a guaranteed follow-up attack, foe cannot make a follow-up attack, and also, if unit or foe initiates combat after moving to a different space, grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.)",300
Falchion,16,1,"Effective against dragon foes. At the start of every third turn, restores 10 HP.",400
Dracofalchion,16,1,"Effective against dragon foes. Grants Atk+3. If the number of foes within 2 spaces (excluding target) ≥ the number of allies within 2 spaces (excluding unit), grants Atk/Spd/Def/Res+5 during combat.",400
Scepter of Love,16,1,"Grants Spd+3. At start of combat, if a bonus granted by a skill like Rally or Hone is active on unit or if unit's HP ≥ 70%, grants bonus to unit's Atk = 25% of foe's Def and inflicts penalty on foe's Atk = 25% of foe's Res during combat.",400
True-Bond Bow,14,2,"Accelerates Special trigger (cooldown count-1).Effective against flying foes.Unit can move to a space within 2 spaces of any ally within 2 spaces.At start of turn, if unit is within 2 spaces of an ally, for unit and allies within 2 spaces of unit, grants Atk/Spd【Great Talent】+2, and also, if Special cooldown count is at its maximum value, grants Special cooldown count-2; if Special cooldown count is at its maximum value - 1, grants Special cooldown count-1.If unit initiates combat or is within 2 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), unit deals +X damage (excluding area-of-effect Specials), and reduces damage from foe's first attack by X during combat (X = total value of Atk and Spd【Great Talent】× 2; max 30; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and restores 7 HP to unit after combat.(This skill grants max of【Great Talent】+10.)【Great Talent】Adds value of Great Talent (+X) to specified stats (until end of battle; max value of X is determined by the stat reaching the limit of 99, each stat calculated separately and cannot exceed max value for each skill; stat increases are not treated as Bonus effects).",400
Luna Arc,14,2,"Effective against flying foes. Grants Spd+3. If unit initiates combat, deals damage = 25% of foe's Def. (Ignores reductions to Def from special skills like Lunar Flash.)",400
Earthly Gáe Bolg,16,1,"Grants Def+3. In combat against an infantry, armored, or cavalry foe, inflicts Atk/Def-5 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",400
Ragnell·Alondite,10,1,Unit can counterattack regardless of foe's range. Inflicts Spd-5. Unit attacks twice (even if foe initiates combat).,400
Arcadian Axes,11,1,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice). Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def/Res-X on foe during combat (X = 20% of unit's Res at start of combat, + 5), and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed foe's maximum Special cooldown).",400
Lance of Grado,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit is within 2 spaces of an ally, grants Def/Res+6, ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack),"" and ""neutralizes foe's bonuses during combat"" to unit and allies within 2 spaces of unit for 1 turn.If unit is within 3 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res = 5 + number of allies within 3 spaces of unit × 3 (max 14), neutralizes unit's penalties, and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and restores 7 HP to unit after combat.",400
Slaying Axe,10,1,Accelerates Special trigger (cooldown count-1).,200
Slaying Axe+,14,1,Accelerates Special trigger (cooldown count-1).,300
Grado Poleax,16,1,Accelerates Special trigger (cooldown count-1).,400
Silent Breath,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit, inflicts Atk/Spd/Def/Res-X on foe (X = current bonus on each of foe's stats × 2; example: if foe has +7 bonus to Spd, inflicts Spd-14, for a net penalty of Spd-7; calculates each stat penalty independently), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attacks by 7 during combat (""follow-up attack"" normally means only the second strike; for effects that grant ""unit attacks twice,"" it means the third and fourth strikes). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Nóatún,16,1,"If unit's HP ≤ 40%, unit can move to a space adjacent to any ally.",400
Heartbroker Bow,14,2,"Enables【Canto (Ally 2)】.Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit (X = 5 + number of times unit has been enhanced using Dragonflowers, max 10), deals damage = 15% of unit's Spd (including when dealing damage with a Special triggered before combat), and neutralizes effects that prevent unit's follow-up attacks during combat.【Canto (Ally 2)】After an attack, Assist skill, or structure destruction, unit can move to a space adjacent to any ally within 2 spaces.(Once per turn. Cannot attack or assist. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Granted movement treated as Warp movement.)",400
Apotheosis Spear,16,1,"Grants Spd+3. Unit can move to a space adjacent to an ally within 2 spaces. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat.",400
Payday Pouch,16,1,"Grants Spd+3. If number of Bonus effects active on unit (excluding stat bonuses) ≥ 3, enables Canto (2). At start of turn, grants the following effects to unit based on the number of allies within 2 spaces of unit: if ≥ 1, grants 【Null Follow-Up】; if ≥ 2, grants【Hexblade】. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and grants Atk/Spd+X to unit (X = 25% of foe's Atk at start of combat, - 8; min 0, max 10) during combat, and also, if number of Bonus effects active on unit (excluding stat bonuses) ≥ 3, reduces the percentage of foe's non-Special ""reduces damage by X%"" skills by 50% during combat (example: a foe with a ""reduces damage by 45%"" skill would reduce damage by 23% instead).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Hexblade】Calculates damage using the lower of foe's Def or Res during combat for 1 turn (including damage dealt by Specials before combat).",400
Fortune Bow,8,2,"Effective against flying foes. At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Def/Res-5 on that foe through its next action.",200
Fortune Bow+,12,2,"Effective against flying foes. At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Def/Res-5 on that foe through its next action.",300
Unbound Blade,10,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",200
Unbound Blade+,14,1,"If unit is not adjacent to an ally, inflicts Atk/Def-5 on foe during combat and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat.",300
Aerial Longsword,16,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6,【Null Follow-Up】, and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces for 1 turn.If unit initiates combat or is within 2 spaces of an ally, grants bonus to Atk/Spd/Def/Res = 5 + 10% of unit's Spd at start of combat, reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.",400
Peppy Bow,8,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe during combat and foe cannot make a follow-up attack.",200
Peppy Bow+,12,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe during combat and foe cannot make a follow-up attack.",300
Crusher,16,1,"Grants Atk+3. Calculates damage using the lower of foe's Def or Res. If a Rally Assist skill is used by unit, target can move 1 extra space. (That turn only. Does not stack. No effect on cavalry allies with Range = 2.)",400
Brave Sword,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",200
Brave Sword+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",300
Arden's Blade,10,1,"Inflicts Spd-5. Unit attacks twice.(Even if foe initiates combat, unit attacks twice.)",400
Slaying Edge,10,1,Accelerates Special trigger (cooldown count-1).,200
Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",400
Tome of Grief,14,2,"At start of turn, if unit's HP ≥ 25%, inflicts Atk/Res-7 and status preventing counterattacks on closest foes and foes within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, neutralizes foe's bonuses to Atk/Res, and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).",400
Heired Gungnir,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. At start of turn, if unit's HP ≥ 25%, grants Atk/Def+6 and【Charge】 to unit and flying allies within 2 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and deals damage = 15% of unit's Def (excluding area-of-effect Specials) during combat.【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",400
Stone,4,2,—,50
Elstone,6,2,—,100
Atlas,9,2,—,200
Lightburst Tome,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants Atk/Spd/Def+6 and ""unit cannot be slowed by terrain (does not apply to impassable terrain)"" to unit and allies within 2 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, and if unit's attack can trigger unit's Special, grants Special cooldown count-1 to unit before unit's first attack during combat. At start of combat, if unit's HP ≥ 25%, inflicts Atk/Spd/Res-X on foe during combat (X = 16, - foe's max Special cooldown count value × 2; min 8; if foe does not have a Special skill, X = 8). At start of combat, if unit's HP ≥ 25%, reduces damage from foe's first attack by 30% and unit's next attack deals damage = total damage reduced (by any source, including other skills; resets at end of combat), and restores 7 HP to unit after combat.",400
Gronnvulture,8,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",200
Gronnvulture+,12,2,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",300
Emerald Axe,8,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",200
Emerald Axe+,12,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",300
Arthur's Axe,16,1,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Spd/Def/Res+3 during combat.",400
Snow Globe,8,2,"If unit is within 2 spaces of an ally, grants Atk/Res+5 and bonus to Atk/Res during combat = current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+19, for a net bonus of Atk+12.) Calculates each stat bonus independently.",200
Snow Globe+,12,2,"If unit is within 2 spaces of an ally, grants Atk/Res+5 and bonus to Atk/Res during combat = current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+19, for a net bonus of Atk+12.) Calculates each stat bonus independently.",300
Rite of Souls,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, inflicts【Guard】on foes within 3 rows or 3 columns centered on unit with Res < unit's Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, deals damage = 20% of unit's Res (including when dealing damage with a Special triggered before combat), and foe cannot make a follow-up attack.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",400
Bolganone,9,2,—,200
Valflame,14,2,"At start of turn, inflicts Atk/Res-4 on foes in cardinal directions with Res < unit's Res through their next actions.",400
Rexcalibur,9,2,—,200
Grafcalibur,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400
Whelp (Infantry),4,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",50
Yearling (Infantry),6,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",100
Adult (Infantry),9,1,"At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",200
Heralding Horn,14,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+6 to unit and inflicts Atk-6 on foe during combat, and also grants the following effects based on the number of allies within 3 spaces: if ≥ 1 ally, if unit has weapon-triangle advantage or if foe initiates combat, unit attacks twice; and if ≥ 2 allies, reduces damage from foe's first attack during combat by 40%; and if ≥ 3 allies, foe cannot make a follow-up attack. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",400
Horn of Opening,14,1,"Accelerates Special trigger (cooldown count-1).If unit is within 3 spaces of an ally, grants Atk+6 to unit during combat and inflicts Atk-6 on foe during combat. Grants the following effects based on the number of allies within 3 spaces: ≥ 2 allies, unit makes a guaranteed follow-up attack; ≥ 3 allies, foe cannot make a follow-up attack.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",400
Iron Dagger,3,2,"After combat, if unit attacked, inflicts Def/Res-3 on foe through its next action.",50
Steel Dagger,5,2,"After combat, if unit attacked, inflicts Def/Res-3 on foe through its next action.",100
Bunny's Egg,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Bunny's Egg+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Just Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes.If unit initiates combat or if there is an ally within 3 rows or 3 columns centered on unit, grants bonus to unit's Atk/Spd/Def/Res = 5 + 15% of unit's Spd at start of combat, unit deals +7 damage (excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, when unit's Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills during combat (excluding area-of-effect Specials).If unit initiates combat, grants Special cooldown count-1 to unit before unit's first attack during combat, and also, if foe's attack can trigger foe's Special, inflicts Special cooldown count+1 on foe before foe's first attack during combat (cannot exceed the foe's maximum Special cooldown).For allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+4 during their combat, and also, if ally initiates combat and foe's attack can trigger foe's Special, inflicts Special cooldown count+1 on foe before foe's first attack during their combat (cannot exceed the foe's maximum Special cooldown).",400
Divine Sea Spear,16,1,"Grants Atk+3. If unit initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def+3 to unit during combat and inflicts Atk/Spd/Def-3 on foe during combat, and also, if foe has Atk/Spd/Def bonuses, grants bonus to unit's Atk/Spd/Def and inflicts penalty on foe's Atk/Spd/Def during combat = current bonus on each of foe's Atk/Spd/Def. Calculates each stat bonus independently.",400
Order's Sentence,14,2,"Grants Atk+3. At start of combat, if unit's HP ≥ 25% or if【Bonus】is active on unit, grants Atk/Spd/Def/Res+5 to unit during combat and grants bonus to unit's Atk during combat = total bonuses on ally with the highest total bonuses within 2 spaces. (Example: if an ally within 2 spaces has Atk/Spd/Def/Res+6, grants Atk+24.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400
Gurgurant,16,1,"Neutralizes ""effective against flying"" bonuses. Grants Def+3. Inflicts Atk/Def-5 on foes within 2 spaces during combat.",400
Illuminating Horn,14,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, deals damage = 20% of unit's Def, and reduces damage from foe's attacks by 20% of unit's Def (excluding area- of-effect Specials). At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",400
